"Endpoint Name","Endpoint FQDN","IP","Update Status","Last Update","Antimalware","Managed","Online"
"NL1666-ec4c8cac5283","nl1666.netcore.co.in","192.168.113.141","Updated","02 June 2026, 10:47:59","On","Yes","Online"
"NL1668-ec4c8cad36a8","nl1668.netcore.co.in","192.168.12.28","Updated","02 June 2026, 12:34:02","On","Yes","Online"
"NL1669-ec4c8cadbec0","nl1669.netcore.co.in","192.168.12.29","Updated","02 June 2026, 10:15:09","On","Yes","Online"
"NL1670-ec4c8cad971f","nl1670.netcore.co.in","192.168.1.100","Updated","02 June 2026, 12:07:43","On","Yes","Online"
"NL1671-ec4c8c7d3fde","nl1671.netcore.co.in","192.168.113.146","Updated","02 June 2026, 10:07:24","On","Yes","Online"
"NL1672-ec4c8ca9ca59","nl1672.netcore.co.in","192.168.113.147","Updated","02 June 2026, 10:54:05","On","Yes","Online"
"NL1673-ec4c8c7b9d82","nl1673","192.168.29.76","Updated","01 June 2026, 18:42:40","Unknown","Yes","01 June 2026, 21:26:15"
"NL1674-ec4c8cabbf3a","nl1674.netcore.co.in","192.168.113.149","Updated","02 June 2026, 10:19:20","On","Yes","Online"
"NL1675-ec4c8cad44a9","nl1675.netcore.co.in","192.168.113.150","Updated","02 June 2026, 10:02:59","On","Yes","Online"
"NL1676-ec8e779f3440","nl1676.netcore.co.in","192.168.113.162","Updated","02 June 2026, 10:19:11","On","Yes","Online"
"NL1677-ec8e779f344a","nl1677.netcore.co.in","10.10.30.174","Updated","02 June 2026, 11:09:11","On","Yes","Online"
"NL1678-e41fd547b5f8","nl1678.netcore.co.in","192.168.113.167","Updated","02 June 2026, 10:40:29","On","Yes","Online"
"NL1680-e41fd562ed28","nl1680.netcore.co.in","192.168.113.172","Updated","02 June 2026, 10:10:14","On","Yes","Online"
"NL1681-ec8e779f343b","nl1681.netcore.co.in","192.168.4.154","Updated","02 June 2026, 10:15:59","On","Yes","Online"
"NL1682-ec8e7799ec0b","nl1682.netcore.co.in","192.168.113.175","Updated","02 June 2026, 10:28:24","On","Yes","Online"
"NL1683-ec8e779dbef8","nl1683","192.168.0.106","Updated","02 June 2026, 10:40:56","On","Yes","Online"
"NL1684-e41fd547b5ee","nl1684.netcore.co.in","192.168.113.178","Updated","02 June 2026, 10:50:40","On","Yes","Online"
"NL1686-ec8e779c8141","nl1686.netcore.co.in","192.168.0.171","Updated","01 June 2026, 17:29:35","Unknown","Yes","01 June 2026, 18:43:13"
"NL1687-ec8e779f1b54","nl1687.netcore.co.in","192.168.113.182","Updated","02 June 2026, 10:21:38","On","Yes","Online"
"NL1689-e41fd55f24ef","nl1689.netcore.co.in","192.168.113.184","Updated","02 June 2026, 09:59:37","On","Yes","Online"
"NL1690-0072ee5e8535","nl1690.netcore.co.in","192.168.113.185","Updated","02 June 2026, 11:30:02","On","Yes","Online"
"NL1691-ec8e779dbf25","nl1691.netcore.co.in","192.168.113.186","Updated","02 June 2026, 10:46:58","On","Yes","Online"
"NL1692-ec8e779fd139","nl1692","10.101.4.223","Updated","02 June 2026, 10:09:04","On","Yes","Online"
"NL1693-ec8e779b2300","nl1693","10.101.7.52","Updated","02 June 2026, 11:48:29","On","Yes","Online"
"NL1694-ec8e779f1bb3","nl1694.netcore.co.in","192.168.113.190","Updated","02 June 2026, 12:53:25","On","Yes","Online"
"NL1695-ec8e779f2851","nl1695","192.168.1.36","Unknown","03 April 2026, 17:18:56","Unknown","Yes","03 April 2026, 21:13:38"
"NL1697-e41fd55e36ca","nl1697.netcore.co.in","192.168.17.107","Unknown","29 May 2026, 13:15:52","Unknown","Yes","29 May 2026, 15:30:31"
"NL1698-e41fd55f6a18","nl1698.netcore.co.in","192.168.0.216","Updated","02 June 2026, 11:32:58","On","Yes","Online"
"NL1699","nl1699.netcore.co.in","192.168.29.194","Unknown","25 January 2026, 04:22:36","Unknown","Yes","27 January 2026, 16:20:14"
"NL1701-e41fd55e3666","nl1701.netcore.co.in","192.168.113.210","Updated","02 June 2026, 11:07:20","Unknown","Yes","02 June 2026, 12:53:29"
"NL1702-e41fd55f6342","nl1702","10.101.7.53","Updated","02 June 2026, 11:50:08","On","Yes","Online"
"NL1704-e41fd56037c7","nl1704.netcore.co.in","192.168.5.56","Updated","02 June 2026, 11:05:58","On","Yes","Online"
"NL1705-e41fd55dd766","nl1705.netcore.co.in","192.168.113.208","Unknown","29 May 2026, 16:17:11","Unknown","Yes","29 May 2026, 19:09:33"
"NL1708-ec8e779f1bd6","nl1708","192.168.29.25","Updated","02 June 2026, 10:13:42","On","Yes","Online"
"NL1710-e41fd561e004","nl1710","192.168.29.243","Updated","02 June 2026, 01:25:17","Unknown","Yes","02 June 2026, 06:38:23"
"NL1713-e41fd55daedf","nl1713","172.16.20.93","Updated","02 June 2026, 09:59:33","On","Yes","Online"
"NL1715-3c0af34b1c85","nl1715.netcore.co.in","192.168.113.202","Updated","02 June 2026, 11:00:38","On","Yes","Online"
"NL1716-c858b3badbc8","nl1716","192.168.1.28","Updated","02 June 2026, 10:00:11","On","Yes","Online"
"NL1717-9cb150a7ac74","nl1717.netcore.co.in","192.168.4.147","Updated","02 June 2026, 11:11:27","On","Yes","Online"
"NL1718-bccd9981d4c7","nl1718.netcore.co.in","192.168.17.109","Unknown","29 May 2026, 17:05:25","Unknown","Yes","29 May 2026, 18:25:32"
"NL1719-bccd997edca9","nl1719","192.168.116.61","Updated","02 June 2026, 11:12:32","On","Yes","Online"
"NL1720","nl1720","172.16.20.171","Unknown","27 January 2026, 12:03:25","Unknown","Yes","27 January 2026, 13:23:13"
"NL1721-c4ff99f17458","nl1721.netcore.co.in","192.168.113.219","Updated","02 June 2026, 11:00:10","On","Yes","Online"
"NL1722-ec8e777d6b8f","nl1722.netcore.co.in","192.168.113.220","Updated","02 June 2026, 10:08:22","On","Yes","Online"
"NL1723-bccd9981d427","nl1723","192.168.1.5","Updated","01 June 2026, 21:45:42","Unknown","Yes","02 June 2026, 00:02:17"
"NL1724-ec8e779682ff","nl1724.netcore.co.in","192.168.113.221","Updated","02 June 2026, 11:10:43","On","Yes","Online"
"NL1725-bccd99880f77","nl1725.netcore.co.in","192.168.113.222","Updated","02 June 2026, 11:46:23","On","Yes","Online"
"NL1726-9cb15084cc86","nl1726.netcore.co.in","192.168.113.224","Updated","02 June 2026, 10:52:58","On","Yes","Online"
"NL1727-24eb16da40c6","nl1727.netcore.co.in","192.168.113.226","Updated","02 June 2026, 12:34:53","On","Yes","Online"
"NL1728-24eb16e0b1e5","nl1728","192.168.113.227","Updated","02 June 2026, 11:26:09","On","Yes","Online"
"NL1730-bccd997edce0","nl1730.netcore.co.in","192.168.113.228","Updated","02 June 2026, 12:37:33","On","Yes","Online"
"NL1731","nl1731","172.16.20.25","Unknown","27 January 2026, 11:57:55","Unknown","Yes","27 January 2026, 13:24:13"
"NL1732-24eb16e2cfd9","nl1732","192.168.1.7","Updated","02 June 2026, 11:05:42","On","Yes","Online"
"NL1733-24eb16da40ad","nl1733.netcore.co.in","192.168.113.229","Updated","02 June 2026, 10:27:28","On","Yes","Online"
"NL1734-24eb16e2bd4b","nl1734","192.168.29.61","Updated","02 June 2026, 06:48:36","Unknown","Yes","02 June 2026, 08:48:25"
"NL1735-24eb16e2b891","nl1735.netcore.co.in","192.168.4.162","Updated","02 June 2026, 10:44:06","On","Yes","Online"
"NL1736-bccd997ed984","nl1736.netcore.co.in","192.168.113.232","Updated","02 June 2026, 10:55:17","On","Yes","Online"
"NL1737-9cb150d2b08b","nl1737","172.16.20.67","Updated","02 June 2026, 10:49:30","On","Yes","Online"
"NL1738-9cb15084e68f","nl1738.netcore.co.in","192.168.113.238","Updated","02 June 2026, 10:08:42","On","Yes","Online"
"NL1739-24eb16e2ba8f","nl1739.netcore.co.in","192.168.113.239","Updated","02 June 2026, 10:53:15","On","Yes","Online"
"NL1740-24eb16da3fd1","nl1740.netcore.co.in","192.168.116.3","Updated","02 June 2026, 10:37:43","On","Yes","Online"
"NL1741-bccd9983c4b2","nl1741","10.101.4.192","Updated","02 June 2026, 10:12:01","On","Yes","Online"
"NL1743-24eb16dba9a7","nl1743.netcore.co.in","172.26.232.80","Updated","02 June 2026, 11:31:12","Unknown","Yes","02 June 2026, 12:57:29"
"NL1744-9cb15070b63d","nl1744.netcore.co.in","192.168.24.121","Updated","02 June 2026, 11:48:55","On","Yes","Online"
"NL1746-24eb16a4d882","nl1746.netcore.co.in","192.168.116.13","Unmanaged","N/A","Unmanaged","No","Unmanaged"
"NL1747-bccd9987da8e","nl1747","192.168.29.126","Updated","02 June 2026, 10:55:20","On","Yes","Online"
"NL1748-ec8e77815c09","nl1748","192.168.29.92","Updated","02 June 2026, 10:39:53","On","Yes","Online"
"NL1749-9c67d66a8af1","nl1749.netcore.co.in","192.168.116.33","Updated","02 June 2026, 10:07:22","On","Yes","Online"
"NL1750-24eb16dfa813","nl1750","192.168.9.19","Updated","02 June 2026, 10:46:05","On","Yes","Online"
"NL1751-9010575fcf03","nl1751.netcore.co.in","192.168.0.101","Updated","01 June 2026, 18:20:26","Unknown","Yes","02 June 2026, 09:55:26"
"NL1752-24eb16a82bfe","nl1752.netcore.co.in","192.168.116.24","Updated","02 June 2026, 10:04:35","On","Yes","Online"
"NL1753-9cb1508cbfdb","nl1753.netcore.co.in","192.168.19.75","Updated","02 June 2026, 10:52:18","On","Yes","Online"
"NL1754-9cb150ce0b08","nl1754.netcore.co.in","192.168.4.150","Updated","02 June 2026, 11:08:36","On","Yes","Online"
"NL1755-9010576331b6","nl1755.netcore.co.in","192.168.116.35","Updated","02 June 2026, 11:00:27","On","Yes","Online"
"NL1756-24eb16dfa81d","nl1756.netcore.co.in","192.168.116.40","Updated","02 June 2026, 10:43:29","On","Yes","Online"
"NL1757-9cb15085160a","nl1757","192.168.1.4","Updated","02 June 2026, 10:11:17","On","Yes","Online"
"NL1758-24eb16dfa926","nl1758","192.168.1.51","Updated","02 June 2026, 11:27:39","On","Yes","Online"
"NL1759-9cb150cf5f1c","nl1759.netcore.co.in","2409:40c0:5d:4c64:c432:3e9d:42e2:bb47","Updated","02 June 2026, 00:03:46","Unknown","Yes","02 June 2026, 02:26:19"
"NL1760-24eb16dba9cf","nl1760.netcore.co.in","192.168.116.48","Updated","02 June 2026, 11:27:20","On","Yes","Online"
"NL1761-bccd9987c5ad","nl1761","192.168.1.99","Unknown","29 May 2026, 16:32:57","Unknown","Yes","30 May 2026, 00:14:36"
"NL1762-901057a32b54","nl1762.netcore.co.in","192.168.116.54","Updated","02 June 2026, 10:33:12","On","Yes","Online"
"NL1763-9cb150a1b099","nl1763","192.168.1.42","Updated","02 June 2026, 09:59:21","On","Yes","Online"
"NL1764-24eb16aa6edc","nl1764.netcore.co.in","192.168.116.65","Updated","02 June 2026, 12:23:42","On","Yes","Online"
"NL1765-901057623d51","nl1765","192.168.1.5","Unknown","28 May 2026, 11:35:55","Unknown","Yes","28 May 2026, 14:11:09"
"NL1766","nl1766","192.168.1.3","Unknown","13 January 2026, 22:06:01","Unknown","Yes","09 February 2026, 21:28:19"
"NL1767-24eb16e0939f","nl1767","192.168.1.26","Updated","02 June 2026, 10:26:35","On","Yes","Online"
"NL1768-0072ee5d4968","nl1768","192.168.1.17","Updated","01 June 2026, 18:59:14","Unknown","Yes","01 June 2026, 19:35:13"
"NL1769-e41fd5f0f72b","nl1769","192.168.1.14","Unknown","04 May 2026, 16:03:55","Unknown","Yes","04 May 2026, 17:19:28"
"NL1770-e41fd5f1c65b","nl1770","192.168.1.11","Unknown","25 May 2026, 15:35:17","Unknown","Yes","25 May 2026, 16:18:21"
"NL1771-e41fd5c84b64","nl1771.netcore.co.in","192.168.1.13","Updated","02 June 2026, 11:03:20","On","Yes","Online"
"NL1772-ec8e777f556c","nl1772","192.168.1.5","Updated","02 June 2026, 03:24:51","Unknown","Yes","02 June 2026, 10:11:27"
"NL1773-9cb150a124a3","nl1773","192.168.1.9","Updated","02 June 2026, 10:13:36","On","Yes","Online"
"NL1774-24eb16a5cfee","nl1774","192.168.1.25","Updated","02 June 2026, 10:09:07","On","Yes","Online"
"NL1775-24eb16e19303","nl1775","2409:40d2:211b:2c56:8c4:e6a5:f20b:fc1e","Unknown","01 June 2026, 01:21:33","Unknown","Yes","01 June 2026, 02:11:05"
"NL1776-9cb1508fd347","nl1776","192.168.1.52","Updated","01 June 2026, 18:24:19","Unknown","Yes","01 June 2026, 19:37:13"
"NL1777-e41fd5f1c660","nl1777","192.168.1.5","Updated","02 June 2026, 12:07:39","On","Yes","Online"
"NL1778-24eb16e19385","nl1778.netcore.co.in","192.168.116.107","Updated","02 June 2026, 09:57:27","On","Yes","Online"
"NL1779-ec8e777e2011","nl1779.netcore.co.in","192.168.116.80","Updated","02 June 2026, 09:53:12","On","Yes","Online"
"NL1780-9cb15088a5d1","nl1780.netcore.co.in","192.168.116.94","Updated","02 June 2026, 11:07:35","On","Yes","Online"
"NL1781-e41fd5f5697d","nl1781.netcore.co.in","192.168.113.176","Updated","02 June 2026, 11:23:52","On","Yes","Online"
"NL1782-e41fd5f0f6d6","nl1782","192.168.0.109","Updated","02 June 2026, 02:42:32","Unknown","Yes","02 June 2026, 03:39:21"
"NL1783-9cb1508a235c","nl1783.netcore.co.in","192.168.116.96","Updated","02 June 2026, 11:04:43","On","Yes","Online"
"NL1784-7008100fb7d4","nl1784.netcore.co.in","192.168.13.160","Updated","01 June 2026, 15:41:55","Unknown","Yes","01 June 2026, 18:46:13"
"NL1785-94b609e89081","nl1785.netcore.co.in","192.168.13.159","Updated","02 June 2026, 11:26:51","On","Yes","Online"
"NL1786-24eb16d9cc6d","nl1786.netcore.co.in","192.168.13.161","Updated","02 June 2026, 11:14:10","On","Yes","Online"
"NL1787-9cb1508fd2d4","nl1787.netcore.co.in","192.168.116.95","Updated","02 June 2026, 10:20:06","On","Yes","Online"
"NL1788-24eb16e092eb","nl1788.netcore.co.in","172.20.10.2","Updated","02 June 2026, 09:32:23","Unknown","Yes","02 June 2026, 09:50:26"
"NL1789-9cb150a1c953","nl1789.netcore.co.in","192.168.116.90","Updated","02 June 2026, 10:32:04","On","Yes","Online"
"NL1791-e41fd5f47ca7","nl1791.netcore.co.in","192.168.13.162","Updated","02 June 2026, 10:31:05","On","Yes","Online"
"NL1792-bcf105026b83","nl1792","192.168.2.74","Updated","02 June 2026, 12:52:43","On","Yes","Online"
"NL1793-80e4ba9617c0","nl1793.netcore.co.in","192.168.116.102","Updated","02 June 2026, 10:53:45","On","Yes","Online"
"NL1794-9c67d63ba2cc","nl1794.netcore.co.in","192.168.116.101","Updated","01 June 2026, 21:44:20","Unknown","Yes","01 June 2026, 22:55:17"
"NL1799-80e4ba9617ed","nl1799.netcore.co.in","192.168.116.105","Updated","02 June 2026, 12:25:58","On","Yes","Online"
"NL1806-80e4baa08d7c","nl1806.netcore.co.in","192.168.116.99","Updated","02 June 2026, 10:25:22","On","Yes","Online"
"NL1807-28a44a0b603f","nl1807.netcore.co.in","192.168.116.116","Updated","02 June 2026, 11:22:08","On","Yes","Online"
"NL1808-9c67d67b5c0f","nl1808.netcore.co.in","192.168.116.100","Updated","02 June 2026, 10:36:17","On","Yes","Online"
"NL1809-9c67d63b6a69","nl1809.netcore.co.in","192.168.116.104","Updated","02 June 2026, 10:07:38","On","Yes","Online"
"NL1811-9c67d63b9fb6","nl1811.netcore.co.in","192.168.116.122","Updated","02 June 2026, 11:40:28","On","Yes","Online"
"NL1812-28a44a0b626f","nl1812.netcore.co.in","192.168.116.111","Unknown","29 May 2026, 19:09:37","Unknown","Yes","29 May 2026, 19:40:33"
"NL1814-28a44a0c93b0","nl1814.netcore.co.in","192.168.116.121","Updated","02 June 2026, 12:08:10","On","Yes","Online"
"NL1815-9c67d63b78dd","nl1815.netcore.co.in","192.168.116.118","Updated","02 June 2026, 11:10:24","On","Yes","Online"
"NL1816-9c67d67deaab","nl1816.netcore.co.in","192.168.116.123","Updated","02 June 2026, 11:10:06","Unknown","Yes","02 June 2026, 12:32:29"
"NL1817-9c67d67de5c9","nl1817","192.168.116.120","Updated","02 June 2026, 12:40:13","On","Yes","Online"
"NL1818-70081030d61c","nl1818.netcore.co.in","192.168.116.119","Updated","02 June 2026, 10:41:09","On","Yes","Online"
"NL1820-9c67d63a92bf","nl1820","192.168.0.190","Updated","02 June 2026, 10:11:39","On","Yes","Online"
"NL1821-9c67d63b9930","nl1821.netcore.co.in","192.168.116.106","Updated","02 June 2026, 10:34:07","On","Yes","Online"
"NL708-7cb27d707529","nl708.netcore.co.in","192.168.17.71","Updated","02 June 2026, 10:49:48","On","Yes","Online"
"NL726-c0b883bcd72a","nl726","192.168.19.64","Updated","02 June 2026, 12:45:57","On","Yes","Online"
"NL730-c0b883bd56cd","nl730.netcore.co.in","192.168.0.168","Updated","02 June 2026, 11:24:06","Unknown","Yes","02 June 2026, 12:07:28"
"NL858-94e70bc5d893","nl858.netcore.co.in","192.168.113.51","Updated","01 June 2026, 21:22:25","Unknown","Yes","01 June 2026, 22:55:17"
"NL859-94e70bc5dbbd","nl859.netcore.co.in","192.168.110.239","Unknown","16 March 2026, 10:56:34","Unknown","Yes","16 March 2026, 12:34:55"
"NL861","nl861.netcore.co.in","2409:40c0:58:5725:4fb:2d11:a251:f035","Unmanaged","N/A","Unmanaged","No","Unmanaged"
"NL861-94e70bc5d942","nl861.netcore.co.in","192.168.0.102","Unknown","18 April 2026, 03:40:31","Unknown","Yes","18 April 2026, 05:15:57"
"NL866","nl866.netcore.co.in","192.168.1.6","Unknown","04 February 2026, 11:50:04","Unknown","Yes","04 February 2026, 14:55:32"
"NL888-dc41a912377f","nl888","192.168.225.142","Unknown","31 January 2026, 14:51:59","Unknown","Yes","10 March 2026, 12:43:12"
"NL898-44af289653b6","nl898.netcore.co.in","192.168.19.66","Unknown","26 May 2026, 11:27:19","Unknown","Yes","26 May 2026, 18:15:36"
"NL914-dc41a91237e3","nl914.netcore.co.in","192.168.4.156","Unknown","22 May 2026, 11:48:55","Unknown","Yes","25 May 2026, 14:30:20"
"NL916-44af28fb99dd","nl916.netcore.co.in","192.168.13.123","Unknown","01 June 2026, 10:25:50","Unknown","Yes","01 June 2026, 17:06:12"
"NL922-546ceb91f46a","nl922","192.168.29.97","Updated","02 June 2026, 10:24:52","On","Yes","Online"
"NL928-b0a460025620","nl928.netcore.co.in","192.168.113.242","Updated","02 June 2026, 11:36:35","On","Yes","Online"
"NL937-b0a4603a3c93","nl937.netcore.co.in","172.31.99.1","Unknown","21 March 2026, 10:26:52","Unknown","Yes","21 March 2026, 11:06:19"
"NL940-dc41a9127f00","nl940.netcore.co.in","192.168.29.199","Unknown","30 May 2026, 14:51:42","Unknown","Yes","01 June 2026, 10:53:08"
"NL947-44af2898d64f","nl947.netcore.co.in","192.168.116.84","Unknown","23 March 2026, 16:40:39","Unknown","Yes","23 March 2026, 17:11:48"
"NL950-90ccdf979edd","nl950.netcore.co.in","10.0.216.244","Updated","02 June 2026, 10:37:32","On","Yes","Online"
"NL968","nl968.netcore.co.in","192.168.116.11","Unknown","12 December 2025, 15:26:09","Unknown","Yes","12 December 2025, 16:18:03"
"NL976-e8f408494076","nl976","2409:40d2:69:5050:c462:6649:938d:501b","Updated","02 June 2026, 11:20:11","On","Yes","Online"
"NL978-841b77c82472","nl978","192.168.0.102","Unknown","16 March 2026, 21:30:18","Unknown","Yes","21 May 2026, 18:20:23"
"NL990-e02be9437506","nl990.netcore.co.in","192.168.24.131","Updated","02 June 2026, 10:51:58","On","Yes","Online"
"NM320-2cca16628da6","nm320.local","10.10.30.96","Updated","01 June 2026, 22:04:40","On","Yes","Online"
"NM337-a09a8e854cac","nm337.local","172.16.20.196","Updated","02 June 2026, 11:10:42","On","Yes","Online"
"NSDL1-10ffe0506a70","nsdl1","192.168.7.125","Updated","02 June 2026, 10:40:37","On","Yes","Online"
"NSDL2-10ffe0506a7c","nsdl2","192.168.14.101","Updated","02 June 2026, 10:43:56","On","Yes","Online"
"NUL-002-78af080657bb","nul-002","10.10.30.24","Unknown","18 May 2026, 16:03:12","Unknown","Yes","18 May 2026, 17:36:16"
"NUL-003-c475ab7ee1cc","nul-003","192.168.0.5","Updated","02 June 2026, 10:20:54","On","Yes","Online"
"NUL-004-70a8d337c779","nul-004","10.10.30.68","Updated","02 June 2026, 10:55:14","On","Yes","Online"
"NUL-005-50849293e42d","nul-005","10.10.30.186","Unknown","07 May 2026, 16:53:37","Unknown","Yes","11 May 2026, 16:32:32"
"NUL-006-8cf8c5934833","nul-006","10.10.30.82","Updated","02 June 2026, 10:11:35","On","Yes","Online"
"NUL-007-78af08060e55","nul-007","192.168.0.201","Updated","01 June 2026, 19:49:27","Unknown","Yes","01 June 2026, 20:14:14"
"NUL-009-802bf9e1d3a3","nul-009","192.168.1.8","Updated","02 June 2026, 10:09:35","On","Yes","Online"
"NUL-011-50849293e40a","nul-011","192.168.1.2","Updated","02 June 2026, 12:54:41","On","Yes","Online"
"NUL-012-8cf8c593489c","nul-012","192.168.1.14","Updated","02 June 2026, 11:05:22","Unknown","Yes","02 June 2026, 12:09:28"
"NUL-013-78af0804cdbf","nul-013","192.168.1.32","Updated","N/A","Unknown","Yes","28 May 2026, 12:15:19"
"NUL-014-508492942b59","nul-014","192.168.1.7","Updated","02 June 2026, 10:07:46","On","Yes","Online"
"NUL-015-8cf8c5953b16","nul-015","10.10.30.170","Updated","02 June 2026, 12:11:47","On","Yes","Online"
"NUL-017-8cf8c593481a","nul-017","10.67.37.62","Updated","02 June 2026, 00:08:13","Unknown","Yes","02 June 2026, 00:36:18"
"NUL-018-c475ab7ee1d6","nul-018","192.168.88.2","Updated","02 June 2026, 10:40:37","Unknown","Yes","02 June 2026, 12:18:29"
"NUL-019-50849293e45a","nul-019","192.168.0.7","Updated","02 June 2026, 10:21:06","On","Yes","Online"
"NUL-020-0c96e661d323","nul-020","192.168.29.196","Unknown","13 March 2026, 18:14:41","Unknown","Yes","14 March 2026, 00:33:17"
"NUL-021-ec63d7f05ed3","nul-021","192.168.1.6","Updated","02 June 2026, 10:02:48","On","Yes","Online"
"NUL-023-50849268ac86","nul-023","192.168.29.119","Updated","01 June 2026, 23:14:39","Unknown","Yes","02 June 2026, 00:22:18"
"NUL-024-485f995e59c1","nul-024","192.168.0.3","Updated","02 June 2026, 10:03:30","On","Yes","Online"
"NUL-025-50849294fee4","nul-025","10.10.30.43","Updated","02 June 2026, 12:14:54","Unknown","Yes","02 June 2026, 12:35:29"
"NUL-026-8cf8c5953b2f","nul-026","192.168.29.43","Unknown","24 February 2026, 11:26:25","Unknown","Yes","24 February 2026, 13:00:48"
"NUL-027-78af08066fa8","nul-027","192.168.31.51","Updated","02 June 2026, 10:17:00","Unknown","Yes","02 June 2026, 11:14:28"
"NUL-027-8cf8c59349d2","nul-027","192.168.1.4","Updated","02 June 2026, 11:39:44","On","Yes","Online"
"NUL-028-508492689386","nul-028","192.168.29.47","Updated","02 June 2026, 10:24:05","On","Yes","Online"
"NUL-029-78af080619cc","nul-029","192.168.29.165","Unknown","28 May 2026, 20:19:45","Unknown","Yes","02 June 2026, 08:24:28"
"NUL-029-c475ab7ee221","nul-029","2409:40f2:126:1689:78f7:38d3:dd56:dc70","Updated","02 June 2026, 11:35:16","On","Yes","Online"
"NUL-030-8cf8c593492d","nul-030","192.168.0.152","Updated","02 June 2026, 00:21:13","Unknown","Yes","02 June 2026, 02:25:19"
"NUL-031-50849293e43c","nul-031","192.168.29.191","Unknown","16 April 2026, 09:55:59","Unknown","Yes","16 April 2026, 16:27:05"
"NUL-032-00216ae94058","nul-032","192.168.29.236","Updated","02 June 2026, 10:28:34","On","Yes","Online"
"NUL-033-78af08060dce","nul-033","192.168.1.35","Updated","02 June 2026, 11:51:48","On","Yes","Online"
"NUL-034-78af080619d1","nul-034","192.168.1.39","Updated","01 June 2026, 21:34:18","Unknown","Yes","02 June 2026, 08:45:25"
"NUL-036-c8a3e8536307","nul-036","192.168.0.3","Updated","02 June 2026, 10:36:14","On","Yes","Online"
"NUL-038-8cf8c5953adf","nul-038","192.168.29.41","Unknown","24 April 2026, 21:49:42","Unknown","Yes","24 April 2026, 22:12:26"
"NUL-040-508492943158","nul-040","192.168.1.4","Updated","02 June 2026, 10:04:22","On","Yes","Online"
"NUL-041","nul-041","10.10.30.80","Unknown","19 December 2025, 13:14:44","Unknown","Yes","19 December 2025, 18:28:16"
"NUL-043-c475ab7ee208","nul-043","192.168.31.47","Updated","02 June 2026, 10:24:19","On","Yes","Online"
"NUL-044-50849268ac77","nul-044","10.10.30.139","Updated","02 June 2026, 10:13:45","On","Yes","Online"
"NUL-045-0c96e6e507c3","nul-045","192.168.1.35","Updated","02 June 2026, 10:24:06","On","Yes","Online"
"NUL-045-d80f99230cbf","nul-045","10.10.30.225","Unknown","17 February 2026, 15:00:37","Unknown","Yes","17 February 2026, 16:43:13"
"NUL-046-0c96e6b4e7b5","nul-046","10.10.30.109","Unknown","13 February 2026, 19:01:55","Unknown","Yes","13 February 2026, 19:37:14"
"NUM-023-8cf8c593487e","num-023","192.168.0.2","Updated","02 June 2026, 10:00:43","On","Yes","Online"
"NUM-035-b0be8378e7d7","num-035.local","2409:40c4:10ed:88dc:5123:95ae:1d65:ab1","Updated","02 June 2026, 10:02:30","On","Yes","Online"
"NetcoreUnbxd’s MacBook Air (2)-10bd3a682521","num-098.local","192.168.29.92","Updated","02 June 2026, 00:06:47","Unknown","Yes","02 June 2026, 10:14:27"
"NetcoreUnbxd’s MacBook Air-5c1bf4e85e96","num-029.local","192.168.1.5","Updated","02 June 2026, 10:04:55","On","Yes","Online"
"NetcoreUnbxd’s MacBook Air-d0880c711031","num-079.local","192.168.1.10","Updated","02 June 2026, 10:07:24","On","Yes","Online"
"NetcoreUnbxd’s MacBook Air-d0880c73b545","num-078.local","192.168.29.80","Updated","02 June 2026, 12:09:31","On","Yes","Online"
"NetcoreUnbxd’s MacBook Air-d45763e07dc3","num-018.local","192.168.1.2","Updated","02 June 2026, 10:13:22","On","Yes","Online"
"NetcoreUnbxd’s MacBook Pro","num022-netcoreunbxds-macbook-pro.local","192.168.1.2","Unknown","21 December 2025, 11:08:11","Unknown","Yes","21 December 2025, 13:04:51"
"NetcoreUnbxd’s MacBook Pro (2)","num-100.local","10.10.30.195","Unknown","10 December 2025, 11:06:56","Unknown","Yes","10 December 2025, 17:39:40"
"NetcoreUnbxd’s MacBook Pro (3)","num-094.local","192.168.0.106","Unknown","09 December 2025, 15:03:58","Unknown","Yes","09 December 2025, 16:26:54"
"NetcoreUnbxd’s MacBook Pro (4)-a4cf99908365","num-009.local","192.168.29.158","Updated","02 June 2026, 11:09:23","On","Yes","Online"
"NetcoreUnbxd’s MacBook Pro (5)-b0be83819269","num-036.local","192.168.1.11","Updated","02 June 2026, 10:29:23","On","Yes","Online"
"NetcoreUnbxd’s MacBook Pro-38f9d350ac42","num-070.local","2409:408c:8703:6dde:b4b2:8d91:ab99:f035","Updated","02 June 2026, 12:03:20","On","Yes","Online"
"NetcoreUnbxd’s MacBook Pro-38f9d357c2c8","num-095.local","10.10.30.193","Unknown","16 March 2026, 12:10:26","Unknown","Yes","17 March 2026, 11:54:08"
"NetcoreUnbxd’s MacBook Pro-842f572f36f1","num-005.local","192.168.1.37","Unknown","28 February 2026, 10:37:21","Unknown","Yes","01 March 2026, 09:14:00"
"NetcoreUnbxd’s MacBook Pro-9c3e5392cbb0","num-049.local","192.168.1.6","Updated","02 June 2026, 11:07:54","On","Yes","Online"
"NetcoreUnbxd’s MacBook Pro-a4cf997214e7","num-071.local","192.168.1.10","Updated","01 June 2026, 19:10:54","Unknown","Yes","01 June 2026, 22:09:16"
